home_id,away_id,home_name,away_name,result
44,50,Burnley,Manchester City,0
42,65,Arsenal,Nottingham Forest,2
35,48,Bournemouth,West Ham,1
45,36,Everton,Fulham,0
51,1359,Brighton,Luton,2
62,52,Sheffield Utd,Crystal Palace,0
34,66,Newcastle,Aston Villa,2
55,47,Brentford,Tottenham,1
49,40,Chelsea,Liverpool,1
33,39,Manchester United,Wolves,2
65,62,Nottingham Forest,Sheffield Utd,2
36,55,Fulham,Brentford,0
39,51,Wolves,Brighton,0
40,35,Liverpool,Bournemouth,2
47,33,Tottenham,Manchester United,2
50,34,Manchester City,Newcastle,2
66,45,Aston Villa,Everton,2
48,49,West Ham,Chelsea,2
52,42,Crystal Palace,Arsenal,0
49,1359,Chelsea,Luton,2
35,47,Bournemouth,Tottenham,0
33,65,Manchester United,Nottingham Forest,2
42,36,Arsenal,Fulham,1
45,39,Everton,Wolves,0
55,52,Brentford,Crystal Palace,1
51,48,Brighton,West Ham,0
44,66,Burnley,Aston Villa,0
62,50,Sheffield Utd,Manchester City,0
34,40,Newcastle,Liverpool,0
1359,48,Luton,West Ham,0
62,45,Sheffield Utd,Everton,1
44,47,Burnley,Tottenham,0
49,65,Chelsea,Nottingham Forest,0
50,36,Manchester City,Fulham,2
55,35,Brentford,Bournemouth,1
51,34,Brighton,Newcastle,2
40,66,Liverpool,Aston Villa,2
52,39,Crystal Palace,Wolves,2
42,33,Arsenal,Manchester United,2
39,40,Wolves,Liverpool,0
33,51,Manchester United,Brighton,0
36,1359,Fulham,Luton,2
47,62,Tottenham,Sheffield Utd,2
48,50,West Ham,Manchester City,0
66,52,Aston Villa,Crystal Palace,2
34,55,Newcastle,Brentford,2
35,49,Bournemouth,Chelsea,1
45,42,Everton,Arsenal,0
65,44,Nottingham Forest,Burnley,1
50,65,Manchester City,Nottingham Forest,2
52,36,Crystal Palace,Fulham,1
1359,39,Luton,Wolves,1
55,45,Brentford,Everton,0
44,33,Burnley,Manchester United,0
40,48,Liverpool,West Ham,2
42,47,Arsenal,Tottenham,1
49,66,Chelsea,Aston Villa,0
51,35,Brighton,Bournemouth,2
62,34,Sheffield Utd,Newcastle,0
66,51,Aston Villa,Brighton,2
33,52,Manchester United,Crystal Palace,0
34,44,Newcastle,Burnley,2
35,42,Bournemouth,Arsenal,0
39,50,Wolves,Manchester City,2
45,1359,Everton,Luton,0
48,62,West Ham,Sheffield Utd,2
47,40,Tottenham,Liverpool,2
65,55,Nottingham Forest,Brentford,1
36,49,Fulham,Chelsea,0
1359,44,Luton,Burnley,0
1359,47,Luton,Tottenham,0
33,55,Manchester United,Brentford,2
36,62,Fulham,Sheffield Utd,2
44,49,Burnley,Chelsea,0
45,35,Everton,Bournemouth,2
52,65,Crystal Palace,Nottingham Forest,1
39,66,Wolves,Aston Villa,1
48,34,West Ham,Newcastle,1
51,40,Brighton,Liverpool,1
42,50,Arsenal,Manchester City,2
40,45,Liverpool,Everton,2
34,52,Newcastle,Crystal Palace,2
35,39,Bournemouth,Wolves,0
50,51,Manchester City,Brighton,2
55,44,Brentford,Burnley,2
65,1359,Nottingham Forest,Luton,1
49,42,Chelsea,Arsenal,1
62,33,Sheffield Utd,Manchester United,0
66,48,Aston Villa,West Ham,2
47,36,Tottenham,Fulham,2
52,47,Crystal Palace,Tottenham,0
49,55,Chelsea,Brentford,0
35,44,Bournemouth,Burnley,2
42,62,Arsenal,Sheffield Utd,2
39,34,Wolves,Newcastle,1
48,45,West Ham,Everton,0
40,65,Liverpool,Nottingham Forest,2
51,36,Brighton,Fulham,1
66,1359,Aston Villa,Luton,2
33,50,Manchester United,Manchester City,0
36,33,Fulham,Manchester United,0
44,52,Burnley,Crystal Palace,0
45,51,Everton,Brighton,1
50,35,Manchester City,Bournemouth,2
55,48,Brentford,West Ham,2
62,39,Sheffield Utd,Wolves,2
34,42,Newcastle,Arsenal,2
65,66,Nottingham Forest,Aston Villa,2
1359,40,Luton,Liverpool,1
47,49,Tottenham,Chelsea,0
39,47,Wolves,Tottenham,2
33,1359,Manchester United,Luton,2
42,44,Arsenal,Burnley,2
52,45,Crystal Palace,Everton,0
35,34,Bournemouth,Newcastle,2
40,55,Liverpool,Brentford,2
48,65,West Ham,Nottingham Forest,2
51,62,Brighton,Sheffield Utd,1
66,36,Aston Villa,Fulham,2
49,50,Chelsea,Manchester City,1
50,40,Manchester City,Liverpool,1
34,49,Newcastle,Chelsea,2
44,48,Burnley,West Ham,0
62,35,Sheffield Utd,Bournemouth,0
65,51,Nottingham Forest,Brighton,0
1359,52,Luton,Crystal Palace,2
55,42,Brentford,Arsenal,0
47,66,Tottenham,Aston Villa,0
45,33,Everton,Manchester United,0
36,39,Fulham,Wolves,2
42,39,Arsenal,Wolves,2
44,62,Burnley,Sheffield Utd,2
55,1359,Brentford,Luton,2
65,45,Nottingham Forest,Everton,0
34,33,Newcastle,Manchester United,2
35,66,Bournemouth,Aston Villa,1
40,36,Liverpool,Fulham,2
48,52,West Ham,Crystal Palace,1
49,51,Chelsea,Brighton,2
50,47,Manchester City,Tottenham,1
39,44,Wolves,Burnley,2
1359,42,Luton,Arsenal,0
36,65,Fulham,Nottingham Forest,2
51,55,Brighton,Brentford,2
52,35,Crystal Palace,Bournemouth,0
62,40,Sheffield Utd,Liverpool,0
33,49,Manchester United,Chelsea,2
66,50,Aston Villa,Manchester City,2
45,34,Everton,Newcastle,2
47,48,Tottenham,West Ham,0
52,40,Crystal Palace,Liverpool,0
33,35,Manchester United,Bournemouth,0
39,65,Wolves,Nottingham Forest,1
51,44,Brighton,Burnley,1
62,55,Sheffield Utd,Brentford,2
66,42,Aston Villa,Arsenal,2
36,48,Fulham,West Ham,2
45,49,Everton,Chelsea,2
1359,50,Luton,Manchester City,0
47,34,Tottenham,Newcastle,2
65,47,Nottingham Forest,Tottenham,0
34,36,Newcastle,Fulham,2
49,62,Chelsea,Sheffield Utd,2
50,52,Manchester City,Crystal Palace,1
44,45,Burnley,Everton,0
42,51,Arsenal,Brighton,2
48,39,West Ham,Wolves,2
55,66,Brentford,Aston Villa,0
40,33,Liverpool,Manchester United,1
52,51,Crystal Palace,Brighton,1
66,62,Aston Villa,Sheffield Utd,1
48,33,West Ham,Manchester United,2
36,44,Fulham,Burnley,0
47,45,Tottenham,Everton,2
65,35,Nottingham Forest,Bournemouth,0
1359,34,Luton,Newcastle,2
40,42,Liverpool,Arsenal,1
39,49,Wolves,Chelsea,2
34,65,Newcastle,Nottingham Forest,0
35,36,Bournemouth,Fulham,2
62,1359,Sheffield Utd,Luton,0
44,40,Burnley,Liverpool,0
33,66,Manchester United,Aston Villa,2
49,52,Chelsea,Crystal Palace,2
55,39,Brentford,Wolves,0
45,50,Everton,Manchester City,0
51,47,Brighton,Tottenham,2
42,48,Arsenal,West Ham,0
1359,49,Luton,Chelsea,0
39,45,Wolves,Everton,2
50,62,Manchester City,Sheffield Utd,2
52,55,Crystal Palace,Brentford,2
66,44,Aston Villa,Burnley,2
65,33,Nottingham Forest,Manchester United,2
36,42,Fulham,Arsenal,2
47,35,Tottenham,Bournemouth,2
40,34,Liverpool,Newcastle,2
48,51,West Ham,Brighton,1
44,1359,Burnley,Luton,1
49,36,Chelsea,Fulham,2
34,50,Newcastle,Manchester City,0
45,66,Everton,Aston Villa,1
33,47,Manchester United,Tottenham,1
42,52,Arsenal,Crystal Palace,2
55,65,Brentford,Nottingham Forest,2
62,48,Sheffield Utd,West Ham,1
35,40,Bournemouth,Liverpool,0
51,39,Brighton,Wolves,1
65,42,Nottingham Forest,Arsenal,0
36,45,Fulham,Everton,1
1359,51,Luton,Brighton,2
52,62,Crystal Palace,Sheffield Utd,2
66,34,Aston Villa,Newcastle,0
47,55,Tottenham,Brentford,2
50,44,Manchester City,Burnley,2
40,49,Liverpool,Chelsea,2
48,35,West Ham,Bournemouth,1
39,33,Wolves,Manchester United,0
45,47,Everton,Tottenham,1
34,1359,Newcastle,Luton,1
44,36,Burnley,Fulham,1
51,52,Brighton,Crystal Palace,2
62,66,Sheffield Utd,Aston Villa,0
33,48,Manchester United,West Ham,2
35,65,Bournemouth,Nottingham Forest,1
49,39,Chelsea,Wolves,0
42,40,Arsenal,Liverpool,2
55,50,Brentford,Manchester City,0
50,45,Manchester City,Everton,2
36,35,Fulham,Bournemouth,2
39,55,Wolves,Brentford,0
40,44,Liverpool,Burnley,2
47,51,Tottenham,Brighton,2
1359,62,Luton,Sheffield Utd,0
65,34,Nottingham Forest,Newcastle,0
48,42,West Ham,Arsenal,0
66,33,Aston Villa,Manchester United,0
52,49,Crystal Palace,Chelsea,0
55,40,Brentford,Liverpool,0
34,35,Newcastle,Bournemouth,1
36,66,Fulham,Aston Villa,0
44,42,Burnley,Arsenal,0
47,39,Tottenham,Wolves,0
65,48,Nottingham Forest,West Ham,2
50,49,Manchester City,Chelsea,1
62,51,Sheffield Utd,Brighton,0
1359,33,Luton,Manchester United,0
45,52,Everton,Crystal Palace,1
50,55,Manchester City,Brentford,2
40,1359,Liverpool,Luton,2
33,36,Manchester United,Fulham,0
51,45,Brighton,Everton,1
52,44,Crystal Palace,Burnley,2
66,65,Aston Villa,Nottingham Forest,2
35,50,Bournemouth,Manchester City,0
42,34,Arsenal,Newcastle,2
39,62,Wolves,Sheffield Utd,2
48,55,West Ham,Brentford,2
34,39,Newcastle,Wolves,2
36,51,Fulham,Brighton,2
45,48,Everton,West Ham,0
47,52,Tottenham,Crystal Palace,2
55,49,Brentford,Chelsea,1
65,40,Nottingham Forest,Liverpool,0
1359,66,Luton,Aston Villa,0
44,35,Burnley,Bournemouth,0
50,33,Manchester City,Manchester United,2
62,42,Sheffield Utd,Arsenal,0
33,45,Manchester United,Everton,2
35,62,Bournemouth,Sheffield Utd,1
39,36,Wolves,Fulham,2
52,1359,Crystal Palace,Luton,1
42,55,Arsenal,Brentford,2
66,47,Aston Villa,Tottenham,0
48,44,West Ham,Burnley,1
51,65,Brighton,Nottingham Forest,2
40,50,Liverpool,Manchester City,1
49,34,Chelsea,Newcastle,2
35,1359,Bournemouth,Luton,2
44,55,Burnley,Brentford,2
1359,65,Luton,Nottingham Forest,1
36,47,Fulham,Tottenham,2
48,66,West Ham,Aston Villa,1
34,48,Newcastle,West Ham,2
35,45,Bournemouth,Everton,2
47,1359,Tottenham,Luton,2
49,44,Chelsea,Burnley,1
62,36,Sheffield Utd,Fulham,1
65,52,Nottingham Forest,Crystal Palace,1
66,39,Aston Villa,Wolves,2
55,33,Brentford,Manchester United,1
40,51,Liverpool,Brighton,2
50,42,Manchester City,Arsenal,1
34,45,Newcastle,Everton,1
65,36,Nottingham Forest,Fulham,2
35,52,Bournemouth,Crystal Palace,2
44,39,Burnley,Wolves,1
48,47,West Ham,Tottenham,1
42,1359,Arsenal,Luton,2
55,51,Brentford,Brighton,1
50,66,Manchester City,Aston Villa,2
40,62,Liverpool,Sheffield Utd,2
49,33,Chelsea,Manchester United,2
52,50,Crystal Palace,Manchester City,0
36,34,Fulham,Newcastle,0
39,48,Wolves,West Ham,0
45,44,Everton,Burnley,2
66,55,Aston Villa,Brentford,1
1359,35,Luton,Bournemouth,2
51,42,Brighton,Arsenal,0
33,40,Manchester United,Liverpool,1
62,49,Sheffield Utd,Chelsea,1
47,65,Tottenham,Nottingham Forest,2
34,47,Newcastle,Tottenham,2
44,51,Burnley,Brighton,1
50,1359,Manchester City,Luton,2
55,62,Brentford,Sheffield Utd,2
65,39,Nottingham Forest,Wolves,1
35,33,Bournemouth,Manchester United,1
40,52,Liverpool,Crystal Palace,0
48,36,West Ham,Fulham,0
42,66,Arsenal,Aston Villa,0
49,45,Chelsea,Everton,2
62,44,Sheffield Utd,Burnley,0
1359,55,Luton,Brentford,0
39,42,Wolves,Arsenal,0
45,65,Everton,Nottingham Forest,2
52,48,Crystal Palace,West Ham,2
66,35,Aston Villa,Bournemouth,2
36,40,Fulham,Liverpool,0
42,49,Arsenal,Chelsea,2
39,35,Wolves,Bournemouth,0
33,62,Manchester United,Sheffield Utd,2
45,40,Everton,Liverpool,2
52,34,Crystal Palace,Newcastle,2
51,50,Brighton,Manchester City,0
48,40,West Ham,Liverpool,1
33,44,Manchester United,Burnley,1
34,62,Newcastle,Sheffield Utd,2
36,52,Fulham,Crystal Palace,1
39,1359,Wolves,Luton,2
45,55,Everton,Brentford,2
66,49,Aston Villa,Chelsea,1
35,51,Bournemouth,Brighton,2
47,42,Tottenham,Arsenal,0
65,50,Nottingham Forest,Manchester City,0
49,47,Chelsea,Tottenham,2
1359,45,Luton,Everton,1
42,35,Arsenal,Bournemouth,2
44,34,Burnley,Newcastle,0
55,36,Brentford,Fulham,1
62,65,Sheffield Utd,Nottingham Forest,0
50,39,Manchester City,Wolves,2
49,48,Chelsea,West Ham,2
51,66,Brighton,Aston Villa,2
40,47,Liverpool,Tottenham,2
52,33,Crystal Palace,Manchester United,2
36,50,Fulham,Manchester City,0
34,51,Newcastle,Brighton,1
35,55,Bournemouth,Brentford,0
39,52,Wolves,Crystal Palace,0
45,62,Everton,Sheffield Utd,2
47,44,Tottenham,Burnley,2
48,1359,West Ham,Luton,2
65,49,Nottingham Forest,Chelsea,0
33,42,Manchester United,Arsenal,0
66,40,Aston Villa,Liverpool,1
47,50,Tottenham,Manchester City,0
51,49,Brighton,Chelsea,0
33,34,Manchester United,Newcastle,2
40,39,Liverpool,Wolves,2
42,45,Arsenal,Everton,2
44,65,Burnley,Nottingham Forest,0
49,35,Chelsea,Bournemouth,2
50,48,Manchester City,West Ham,2
51,33,Brighton,Manchester United,0
52,66,Crystal Palace,Aston Villa,2
55,34,Brentford,Newcastle,0
62,47,Sheffield Utd,Tottenham,0
1359,36,Luton,Fulham,0
